theta1,theta2,gamma4,gamma1,gamma2,gamma3,l1
0.0,0.15974199933507421,0.31948399867014843,0.42463035853241404,0.9201444068233416,0.9137575305121886,219.28518898256922
0.0,0.15974199933507421,0.37273133178183987,0.43751193497718793,0.9247608004884927,0.9213459351383726,217.48015062216456
0.0,0.15974199933507421,0.47922599800522264,0.46378858566249426,0.932812209422709,0.9333774940108457,213.77835597640063
0.0,0.15974199933507421,0.5324733311169141,0.47708379737395734,0.9362405700335734,0.9378243762153425,211.8966780325704
0.0,0.15974199933507421,0.5857206642286055,0.49042256262718764,0.9392772160264549,0.9412415106954531,210.00386624368576
0.0,0.15974199933507421,0.6389679973402969,0.5037631432970299,0.9419333567352733,0.9436489786415719,208.10643698070365
0.0,0.15974199933507421,0.6922153304519882,0.5170668531790908,0.9442239262938029,0.9450716062905812,206.21048670891523
0.0,0.15974199933507421,0.7454626635636797,0.5302978654012162,0.9461666411144,0.9455378500533411,204.3217018450333
0.0,0.15974199933507421,0.7987099966753711,0.5434230033469207,0.9477812024409943,0.9450788686570378,202.44537463260724
0.0,0.15974199933507421,0.8519573297870625,0.5564115271334166,0.9490886347818084,0.9437277663620889,200.58642289558185
0.0,0.15974199933507421,0.9052046628987539,0.5692349238727181,0.950110746688302,0.9415189872976427,198.7494120469213
0.0,0.15974199933507421,0.9584519960104453,0.5818667071167444,0.9508696983653272,0.9384878396223518,196.9385781697715
0.0,0.15974199933507421,1.0116993291221368,0.594282228352038,0.9513876608349316,0.9346701292039579,195.15785132276974
0.0,0.15974199933507421,1.0649466622338282,0.6064585021332055,0.9516865518508842,0.9301018837970304,193.41087850626838
0.0,0.15974199933507421,1.1181939953455196,0.6183740451614586,0.9517878353879435,0.9248191510677435,191.70104592087702
0.0,0.15974199933507421,1.171441328457211,0.6300087290121607,0.9517123730186725,0.9188578559913376,190.03150030300822
0.0,0.15974199933507421,1.2246886615689023,0.6413436457151503,0.9514803172192106,0.9122537054608589,188.4051692238466
0.0,0.15974199933507421,1.2779359946805937,0.6523609852297926,0.9511110381216851,0.9050421299300437,186.8247803122459
0.0,0.15974199933507421,1.331183327792285,0.6630439236946106,0.950623076719599,0.8972582538076523,185.29287940509013
0.0,0.15974199933507421,1.3844306609039765,0.6733765214180116,0.9500341186661799,0.888936887803113,183.8118476593867
0.0,0.15974199933507421,1.437677994015668,0.6833436295629118,0.9493609839464147,0.8801125378234559,182.38391767132273
0.0,0.15974199933507421,1.4909253271273595,0.6929308046369054,0.9486196285206341,0.8708194260591764,181.0111886543335
0.0,0.15974199933507421,1.5441726602390509,0.7021242300076503,0.9478251547859436,0.8610915208067688,179.69564072560243
0.0,0.15974199933507421,1.5974199933507423,0.7109106437899964,0.9469918283068652,0.8509625723012241,178.43914834377497
0.0,0.15974199933507421,1.6506673264624336,0.7192772726216137,0.9461330987144989,0.8404661523726303,177.24349293227138
0.0,0.15974199933507421,1.703914659574125,0.7272117708886868,0.9452616231606358,0.8296356962666553,176.11037470854964
0.0,0.15974199933507421,1.7571619926858164,0.7347021652873377,0.9443892908161123,0.8185045451395901,175.0414237325222
0.0,0.15974199933507421,1.8104093257975078,0.7417368045027156,0.9435272473975195,0.8071059881952437,174.0382101669541
0.0,0.15974199933507421,1.8636566589091992,0.7483043141624421,0.9426859186294809,0.795473303391383,173.10225373517707
